순번,시도본부,소방서,119안전센터명,주소,전화번호,팩스번호
1,서울특별시,종로소방서,세종로119안전센터,서울특별시 종로구 율곡로 78(운니동),02-734-0119,02-723-8119
2,서울특별시,종로소방서,신교119안전센터,서울특별시 종로구 자하문로 93 (신교동),02-737-8119,02-736-0119
3,서울특별시,종로소방서,종로119안전센터,서울특별시 종로구 돈화문로 30 (묘동),02-747-7119,02-764-0119
4,서울특별시,종로소방서,연건119안전센터,서울특별시 종로구 대학로 91 (연건동),02-747-8119,02-762-0119
5,서울특별시,종로소방서,신영119안전센터,서울특별시 종로구 진흥로 477 (신영동),02-391-0119,02-395-2119
6,서울특별시,종로소방서,숭인119안전센터,서울특별시 종로구 숭인동길 63 (숭인동),02-929-0921,02-929-5289
7,서울특별시,중부소방서,무학119안전센터,서울특별시 중구 퇴계로 394 (무학동),02-6981-0159,02-2237-0693
8,서울특별시,중부소방서,을지로119안전센터,서울특별시 중구 을지로45길 43 (신당동),02-6981-0175,02-2235-0698
9,서울특별시,중부소방서,충무로119안전센터,서울특별시 중구 충무로 11 (충무로3가),02-6981-0183,02-2285-1122
10,서울특별시,중부소방서,회현119안전센터,서울특별시 중구 소공로 30 (회현동2가),02-6981-0191,02-753-0119
11,서울특별시,중부소방서,신당119안전센터,서울특별시 중구 다산로8길 2 (신당동),02-6981-0199,02-2254-0119
12,서울특별시,광진소방서,구의119안전센터,서울특별시 광진구 광나루로 480 (구의동),02-6981-6768,02-454-0118
13,서울특별시,광진소방서,능동119안전센터,서울특별시 광진구 능동로 242 (능동),02-6981-6781,02-3436-8119
14,서울특별시,광진소방서,중곡119안전센터,서울특별시 광진구 용마산로 150 (중곡동),02-6981-6791,02-2201-4119
15,서울특별시,용산소방서,한강로119안전센터,서울특별시 용산구 한강대로 167 (한강로2가),02-6943-1520,02-792-5117
16,서울특별시,용산소방서,이태원119안전센터,서울특별시 용산구 이태원로 196 (이태원동),02-6943-1540,02-798-0119
17,서울특별시,용산소방서,후암119안전센터,서울특별시 용산구 후암로 34 (후암동),02-6943-1550,02-773-1179
18,서울특별시,용산소방서,이촌119안전센터,서울특별시 용산구 이촌로2가길 1 (이촌동),02-6943-1560,02-712-0119
19,서울특별시,용산소방서,서빙고119안전센터,서울특별시 용산구 서빙고로67길 7 (서빙고동),02-6943-1570,02-796-1197
20,서울특별시,동대문소방서,장안119안전센터,서울특별시 동대문구 장한로 34 (장안동),02-6942-1352,02-2187-8184
21,서울특별시,동대문소방서,청량리119안전센터,서울특별시 동대문구 왕산로 299 (청량리동),02-6942-1361,02-2187-8186
22,서울특별시,동대문소방서,전농119안전센터,서울특별시 동대문구 황물로 3 (전농동),02-6942-1366,02-2187-8187
23,서울특별시,동대문소방서,용두119안전센터,서울특별시 동대문구 왕산로 76 (용두동),02-6942-1371,02-2187-8188
24,서울특별시,동대문소방서,휘경119안전센터,서울특별시 동대문구 망우로 106 (휘경동),02-6942-1376,02-2187-8189
25,서울특별시,영등포소방서,영등포119안전센터,서울특별시 영등포구 문래로 197 (영등포동4가),02-6981-7150,02-6981-7170
26,서울특별시,영등포소방서,여의도119안전센터,서울특별시 영등포구 의사당대로 162 (여의도동),02-783-0119,02-785-1191
27,서울특별시,영등포소방서,당산119안전센터,서울특별시 영등포구 양평로 70-1 (당산동6가),02-2633-0119,02-2672-7118
28,서울특별시,영등포소방서,대림119안전센터,서울특별시 영등포구 도림로 212 (신길동),02-846-0119,02-831-0119
29,서울특별시,영등포소방서,신길119안전센터,서울특별시 영등포구 영등포로84길 31 (신길동),02-841-0119,02-834-0119
30,서울특별시,성북소방서,종암119안전센터,서울특별시 성북구 종암로 27길 3 (종암동),02-6981-7351,
31,서울특별시,성북소방서,돈암119안전센터,서울특별시 성북구 보문로 192 (삼선동4가),02-6981-7361,
32,서울특별시,성북소방서,길음119안전센터,서울특별시 성북구 정릉로 321 (길음동),02-6981-7372,
33,서울특별시,성북소방서,장위119안전센터,서울특별시 성북구 한천로 640 (장위동),02-6981-7383,
34,서울특별시,은평소방서,진관119안전센터,서울특별시 은평구 통일로 962 (진관동),02-6981-6151,02-389-0674
35,서울특별시,은평소방서,녹번119안전센터,서울특별시 은평구 은평로 245 (녹번동),02-6981-6171,02-382-0667
36,서울특별시,은평소방서,역촌119안전센터,서울특별시 은평구 갈현로 80 (역촌동),02-6981-6181,02-356-0674
37,서울특별시,은평소방서,수색119안전센터,서울특별시 은평구 수색로 320 (수색동),02-6981-6191,02-307-0041
38,서울특별시,강남소방서,삼성119안전센터,서울특별시 강남구 테헤란로 629 (삼성동),02-6981-7556,02-539-9008
39,서울특별시,강남소방서,영동119안전센터,서울특별시 강남구 도산대로 320 (논현동),02-517-5119,02-542-0119
40,서울특별시,강남소방서,역삼119안전센터,서울특별시 강남구 역삼로 236 (역삼동),02-557-0109,02-508-1193
41,서울특별시,강남소방서,수서119안전센터,서울특별시 강남구 광평로31길 6 (수서동),02-445-9019,02-451-0019
42,서울특별시,강남소방서,개포119안전센터,서울특별시 강남구 논현로 10길 19 (개포동),02-577-2540,02-529-1119
43,서울특별시,강남소방서,세곡119안전센터,서울특별시 강남구 밤고개로 268 (율현동),02-451-0882,02-451-0883
44,서울특별시,서초소방서,반포119안전센터,서울특별시 서초구 사평대로 67 (반포동),02-6981-5939,02-599-0119
45,서울특별시,서초소방서,방배119안전센터,서울특별시 서초구 남부순환로 2155 (방배동),02-6981-5970,02-523-9119
46,서울특별시,서초소방서,양재119안전센터,서울특별시 서초구 동산로 9 (양재동),02-6981-5980,02-508-1193
47,서울특별시,서초소방서,서초119안전센터,서울특별시 서초구 효령로 400 (서초동),02-6981-5985,02-3486-2729
48,서울특별시,서초소방서,잠원119안전센터,서울특별시 서초구 서초중앙로29길 6 (반포동),02-6981-5990,02-594-3119
49,서울특별시,서초소방서,우면119안전센터,서울특별시 서초구 남부순환로340길 49 (서초동),02-6981-5995,02-598-3063
50,서울특별시,강서소방서,등촌119안전센터,서울특별시 강서구 양천로 550 (등촌동),02-6981-5120,02-2187-8244
51,서울특별시,강서소방서,화곡119안전센터,서울특별시 강서구 까치산로 49 (화곡동),02-6981-5170,02-2187-8245
52,서울특별시,강서소방서,발산119안전센터,서울특별시 강서구 강서로 329 (내발산동),02-6981-5175,02-2187-8246
53,서울특별시,강서소방서,방화119안전센터,서울특별시 강서구 금낭화로26길 10 (방화동),02-6981-5180,02-2187-8247
54,서울특별시,강서소방서,개화119안전센터,서울특별시 강서구 개화동로19길 8 (개화동),02-6981-5185,02-2187-8248
55,서울특별시,강서소방서,마곡119안전센터,서울특별시 강서구 마곡서로 9 (마곡동),02-6981-5190,02-2187-8249
56,서울특별시,강동소방서,성내119안전센터,서울특별시 강동구 성내로 39 (성내동),02-6981-7750,02-6981-7717
