department,station,safety_center,address,is_local_unit
강원소방본부,강릉소방서,119구조대,강원 강릉시 선수촌로 64-28,False
경기소방재난본부,가평소방서,대곡119안전센터,경기도 가평군 가평읍 가화로 36,False
경기소방재난본부,과천소방서,주암119안전센터,경기도 과천시 궁말로30,False
경기소방재난본부,광명소방서,광북119안전센터,경기도 광명시 광이로67(광명동),False
경기소방재난본부,수원남부소방서,권선119안전센터,경기도 수원시 권선구 동수원로 286,False
경기소방재난본부,안산소방서,상록수119안전센터,경기도 안산시 상록구 충장로 237,False
경기소방재난본부,안산소방서,수암119안전센터,경기도 안산시 상록구 수암4길 3,False
경남소방본부,사천소방서,삼천포119안전센터,경상남도 사천시 동금로 51  ,False
경남소방본부,양산소방서,범어119안전센터,경상남도 양산시 물금읍 황산로 719,False
경남소방본부,의령소방서,정곡119안전센터,경상남도 의령군 정곡면 의합대로 984-12,False
경남소방본부,함양소방서,백전119지역대,경상남도 함양군 백전면 구산대안로 10-5,True
경남소방본부,함양소방서,함양산악구조대,경상남도 함양군 마천면 삼정로 28,False
경북소방본부,김천소방서,율곡119안전센터,경상북도 김천시 혁신7로 46,False
경북소방본부,상주소방서,낙동119안전센터,경상북도 상주시 낙동면 낙운로 3,False
경북소방본부,상주소방서,만산119안전센터,경상북도 상주시 경상대로 3203-11,False
경북소방본부,성주소방서,가천119안전센터,경상북도 성주군 가천면 가천로 3,False
경북소방본부,칠곡소방서,기산119안전센터,경상북도 칠곡군 기산면 칠곡대로 1216,False
경북소방본부,칠곡소방서,지천119안전센터,경상북도 칠곡군 지천면 신동로85,False
경북소방본부,포항북부소방서,청하119안전센터,경상북도 포항시 북구 청하면 덕천리141,False
대전소방본부,대전서부소방서,도안119안전센터,대전광역시 서구 용소로 46,False
대전소방본부,대전유성소방서,신성119안전센터,대전광역시 유성구 유성대로 1215,False
인천소방본부,인천부평소방서,부흥119안전센터,인천광역시 부평구 부평대로 8 (부평동),False
전남광주소방안전본부,구례소방서,산악119지역대,전남광주통합특별시 구례군 광의면 광의철쭉동산로 73,True
전남광주소방안전본부,신안소방서,신안119구조대,전남광주통합특별시 신안군 암태면 단고리 973-6,False
전남광주소방안전본부,여수소방서,화학119구조대,전남광주통합특별시 여수시 여수산단로 727,False
전남광주소방안전본부,완도소방서,완도소방서금일119지역대,전남광주통합특별시 완도군 금일읍 금일로 335 해남소방서 금일119지역대,True
전남광주소방안전본부,완도소방서,완도소방서노화119지역대,전남광주통합특별시 완도군 노화읍 노화로 613-2,True
전남광주소방안전본부,완도소방서,완도소방서청산119지역대,전남광주통합특별시 완도군 청산면 청산로 90,True
전남광주소방안전본부,진도소방서,진도119구조대,전남광주통합특별시 진도읍 진도대로 6945,False
전남광주소방안전본부,해남소방서,송지 119안전센터,전남광주통합특별시 해남군 송지면 미야길 237-3,False
전북소방본부,전주완산소방서,전주완산소방서 소방장비보관센터,전북특별자치도 전주시 완산구 관선4길 38,False
제주소방안전본부,제주서부소방서 한경119안전센터,제주서부소방서 한경119안전센터,제주특별자치도 제주시 한경면 일주서로 4218 한경119센터,False
충북소방본부,제천소방서,의림지119안전센터,충청북도 제천시 신죽하로 164 (모산동),False
충북소방본부,청주동부소방서,미원119안전센터,충청북도 청주시 상당구 미원면 단재로 2472-1,False
