department,station,safety_center,address,jurisdiction
강원소방본부,강릉소방서,119구조대,강원 강릉시 선수촌로 64-28,
강원소방본부,강릉소방서,경포119안전센터,강원도 강릉시 해안로 502(안현동),"강릉시 사천면, 강릉시 경포동, 강릉시 초당동"
강원소방본부,강릉소방서,내곡119안전센터,강원도 강릉시 범일로 660(내곡동),"강릉시 성산면, 강릉시 왕산면, 강릉시 구정면, 강릉시 내곡동, 강릉시 강남동"
강원소방본부,강릉소방서,옥계119안전센터,강원도 강릉시 옥계면 현내시장길 163,"강릉시 옥계면, 강릉시 강동면"
강원소방본부,강릉소방서,옥천119안전센터,강원도 강릉시 용지로 139(옥천동),"강릉시 옥천동, 강릉시 포남1동, 강릉시 성덕동"
강원소방본부,강릉소방서,유천119안전센터,강원도 강릉시 선수촌로 64-28(홍제동),"강릉시 중앙동, 강릉시 교1동, 강릉시 교2동, 강릉시 유천동, 강릉시 홍제동, 강릉시 성산면"
강원소방본부,강릉소방서,정동119지역대,강원 강릉시 강동면 정동5길 21,
강원소방본부,강릉소방서,주문진119안전센터,강원도 강릉시 연곡면 연주로 226,"강릉시 주문진읍, 강릉시 연곡면"
강원소방본부,강릉소방서,포남119안전센터,강원도 강릉시 하평2길 23(포남동),"강릉시 포남2동, 강릉시 송정동, 강릉시 정덕종"
강원소방본부,고성소방서,119구조대,강원 고성군 간성읍 수성로 37-11,
강원소방본부,고성소방서,간성119안전센터,강원도 고성군 간성읍 수성로 37-11,"고성군 간성읍, 고성군 죽왕면"
강원소방본부,고성소방서,거진119안전센터,강원도 고성군 거진읍 수외길 19,"고성군 거진읍, 고성군 현내면"
강원소방본부,고성소방서,동광119안전센터,강원도 고성군 토성면 동해대로 5320,"고성군 토성면, 고성군 죽왕면"
강원소방본부,고성소방서,현내119지역대,강원도 고성군 현내면 금강산로 286,고성군 현내면
강원소방본부,양구소방서,국토정중앙119지역대,강원 양구군 국토정중앙면 삼팔선로 17-1,양구군
강원소방본부,동해소방서,119구조대,강원 동해시 천곡로 120 임동화물터미널,
강원소방본부,동해소방서,묵호119안전센터,강원도 동해시 일출로 29(발한동),"동해시 동호동, 동해시 발한동, 동해시 묵호동, 동해시 망상동"
강원소방본부,동해소방서,북삼119안전센터,강원도 동해시 효자남길 33-10,"동해시 북삼동, 동해시 삼화동"
강원소방본부,동해소방서,북평119안전센터,강원도 동해시 공단1로 21(구호동),"동해시 북평동, 동해시 송정동"
강원소방본부,동해소방서,삼화119지역대,강원 동해시 무릉1길 6,동해시
강원소방본부,동해소방서,천곡119안전센터,강원도 동해시 천곡로 120(천곡동),"동해시 천곡동, 동해시 부곡동"
강원소방본부,삼척소방서,119구조대,강원도 삼척시 봉황로 101,
강원소방본부,삼척소방서,가곡119지역대,강원도 삼척시 가곡면 가곡천로 1509,삼척시 가곡면
강원소방본부,삼척소방서,근덕119안전센터,강원도 삼척시 근덕면 교가길 37,"삼척시 근덕면, 삼척시 노곡면"
강원소방본부,삼척소방서,노곡119지역대,강원도 삼척시 노곡면 노곡로 18,삼척시 노곡면
강원소방본부,삼척소방서,도계119안전센터,강원도 삼척시 도계읍 도계강변3길 16,"삼척시 도계읍, 삼척시 하장면, 삼척시 신기면	"
강원소방본부,삼척소방서,미로119지역대,강원도 삼척시 미로면 강원남부로 4037,삼척시 미로면
강원소방본부,삼척소방서,봉황119안전센터,강원도 삼척시 봉황로 101,"삼척시 남양동, 삼척시 교동, 삼척시 정상동, 삼척시 미로면"
강원소방본부,삼척소방서,신기119지역대,강원도 삼척시 신기면 신기역길 16,삼척시 신기면
강원소방본부,삼척소방서,원덕119안전센터,강원도 삼척시 원덕읍 삼척로 581,"삼척시 원덕읍, 삼척시 가곡면"
강원소방본부,삼척소방서,임원119지역대,강원 삼척시 원덕읍 삼척로 1228 ,삼척시 임원
강원소방본부,삼척소방서,하장119지역대,강원도 삼척시 하장면 백두대간로 2522,삼척시 하장면
강원소방본부,속초소방서,119구조대,강원특별자치도 속초시 미시령로 3226,
강원소방본부,속초소방서,노학119안전센터,강원도 속초시 미시령로 3226,"속초시 조양동, 속초시 청호동, 속초시 교동, 속초시 노학동, 속초시 금호동"
강원소방본부,속초소방서,설악119안전센터,강원도 속초시 청봉로5길 37,속초시 대포동
강원소방본부,속초소방서,영랑119안전센터,강원도 속초시 번영로 188,"속초시 영랑동, 속초시 동명동, 속초시 금호동"
강원소방본부,양구소방서,119구조대,강원 양구군 양구읍 중심로 92,
강원소방본부,양구소방서,방산119지역대,강원 양구군 방산면 평화로 5229 방산119지역대,양구군 방산면
강원소방본부,양구소방서,양구119안전센터,강원도 양구군 양구읍 중심로 92,양구군
강원소방본부,양구소방서,해안119지역대,강원 양구군 해안면 펀치볼로 1312,양구군 해안면
강원소방본부,양양소방서,119구조대,강원 양양군 양양읍 남대천로 33,
강원소방본부,양양소방서,강현119안전센터,강원도 양양군 강현면 장산1길 26,양양군 강현면
강원소방본부,양양소방서,양양119안전센터,강원도 양양군 양양읍 남대천로 33,"양양군 양양읍, 양양군 손양면, 양양군 서면"
강원소방본부,양양소방서,하조대119안전센터,강원도 양양군 현북면 동해대로 1155-33,
강원소방본부,영월소방서,119구조대,강원도 영월읍 영월로 1863,
강원소방본부,영월소방서,김삿갓119지역대,강원 영월군 김삿갓면 버드나무길 3-4,
강원소방본부,영월소방서,북면119지역대,강원 영월군 북면 밤재로 229,
강원소방본부,영월소방서,산솔119안전센터,강원도 영월군 산솔면 응고개길 10-17,"영월군 산솔면, 영월군 상동읍, 영월군 김삿갓면"
강원소방본부,영월소방서,상동119지역대,강원 영월군 상동읍 구래로 211,영원군
강원소방본부,영월소방서,쌍용119지역대,강원 영월군 한반도면 쌍용리 642-3,
강원소방본부,영월소방서,영월119안전센터,강원도 영월군 영월읍 영월로 1863,"영월군 영월읍, 영월군 북면, 영월군 남면"
강원소방본부,영월소방서,주천119안전센터,강원도 영월군 주천면 송학주천로 1467-15,"영월군 주천면, 영월군 한반도면, 영월군 무릉도원면"
강원소방본부,영월소방서,한반도119지역대,강원 영월군 한반도면 서강로 724,
강원소방본부,원주소방서,119구조대,강원도 동부순환로 201,
강원소방본부,원주소방서,귀래119지역대,강원 원주시 귀래면 운남길 5,
강원소방본부,원주소방서,기업119안전센터,강원도 원주시 지정면 기업도시로 220,원주시 지정면
강원소방본부,원주소방서,단구119안전센터,강원도 원주시 강변로 255,"원주시 단구동, 원주시 개운동"
강원소방본부,원주소방서,명륜119안전센터,강원도 원주시 남원로 467 (명륜동),"원주시 명륜동, 원주시 무실동, 원주시 단구동"
강원소방본부,원주소방서,문막119안전센터,강원도 원주시 문막읍 문막시장1길 90,"원주시 문막읍, 원주시 지정면, 원주시 부론면"
강원소방본부,원주소방서,부론119지역대,강원 원주시 부론면 부귀로 6,
강원소방본부,원주소방서,소초119지역대,강원 원주시 소초면 치악로 2842,
강원소방본부,원주소방서,신림119안전센터,강원도 원주시 신림면 치악로 27,"원주시 신림면, 원주시 판부면"
강원소방본부,원주소방서,우산119안전센터,강원도 원주시 우산공단길 9,"원주시 우산동, 원주시 호저면"
강원소방본부,원주소방서,태장119안전센터,강원도 원주시 태장공단길 4,"원주시 태장1동, 원주시 태장2동, 원주시 소초면"
강원소방본부,원주소방서,학성119안전센터,강원도 원주시 학성길 122,"원주시 중앙동, 원주시 학성동, 원주시 단계동, 원주시 원인동, 원주시 일산동"
강원소방본부,원주소방서,혁신119안전센터,강원도 원주시 동부순환로 201(반곡동),"원주시 반곡관설동, 원주시 행구동, 원주시 봉산동"
강원소방본부,원주소방서,흥업119안전센터,강원도 원주시 흥업면 북원로 1569-81,"원주시 흥업면, 원주시 귀래면, 원주시 무실동"
강원소방본부,익산소방서,팔봉119안전센터,강원도 홍천군 서면 팔봉산로 523,
강원소방본부,인제소방서,119구조대,강원도 인제읍 비봉로 44길 71,
강원소방본부,인제소방서,기린119안전센터,강원도 인제군 기린면 대내로 34-14,"인제군 기린면, 인제군 상남면"
강원소방본부,인제소방서,상남119지역대,강원 인제군 상남면 구름울길 46 상남지역대,인제군
강원소방본부,인제소방서,서화119지역대,강원 인제군 서화면 천도로81번길 37,인제군
강원소방본부,인제소방서,원통119안전센터,강원도 인제군 북면 원통로 301,"인제군 북면, 인제군 서화면"
강원소방본부,인제소방서,인제119안전센터,강원도 인제군 인제읍 비봉로 44번길 71,"인제군 인제읍, 인제군 남면"
강원소방본부,장성소방서,장성119안전센터,강원도 태백시 석공길 16-9,"태백시 장성동, 태백시 문곡소도동"
강원소방본부,정선소방서,119구조대,강원 정선군 정선읍 녹송로 27,
강원소방본부,정선소방서,고한119안전센터,강원도 정선군 고한읍 강원남로 6455,"정선군 고한읍, 정선군 남면"
강원소방본부,정선소방서,남면119지역대,강원 영월군 남면 연당로 160,영월군 남면
강원소방본부,정선소방서,북평119지역대,강원도 정선군 북평면 북평8길 5,
강원소방본부,정선소방서,사북119안전센터,강원도 정선군 사북읍 하이원길 29,"정선군 사북읍, 정선군 남면"
강원소방본부,정선소방서,신동119안전센터,강원도 정선군 신동읍 의림로 342,정선군 신동읍
강원소방본부,정선소방서,여량119지역대,강원 정선군 여량면 고양로 74,
강원소방본부,정선소방서,임계119안전센터,강원도 정선군 임계면 송계4길 9,"정선군 임계면, 정선군 여량면"
강원소방본부,정선소방서,조양119안전센터,강원도 정선군 정선읍 녹송로 27,"정선군 정선읍, 정선군 화암면, 정선군 북평면"
강원소방본부,정선소방서,화암119지역대,강원도 정선군 북평면 북평8길 5,
강원소방본부,철원소방서,119구조대,강원 철원군 갈말읍 태봉로 1504 철원소방서,
강원소방본부,철원소방서,갈말119안전센터,강원도 철원군 갈말읍 명성로 229,철원군 갈말읍
강원소방본부,철원소방서,김화119안전센터,강원도 철원군 서면 약수로 76,"철원군 김화읍, 철원군 근남면, 철원군 서면"
강원소방본부,철원소방서,동송119안전센터,강원특별자치도 철원군 동송읍 금학로251번길 17,"철원군 동송읍, 철원군 철원읍"
강원소방본부,철원소방서,자등119지역대,강원 철원군 서면 자등로 523 철원소방서자등119지역대,철원군 서면
강원소방본부,철원소방서,태봉119안전센터,강원도 철원군 갈말읍 태봉로 1504,철원군 갈말읍
강원소방본부,춘천소방서,119구조대,강원 춘천시 후석로 446 춘천소방서,
강원소방본부,춘천소방서,강촌119안전센터,강원도 춘천시 소주고개로 680,"춘천시 남면, 춘천시 남산면, 춘천시 서면, 춘천시 신동면"
강원소방본부,춘천소방서,대룡119안전센터,강원도 춘천시 동내면 고은길 9,"춘천시 동산면, 춘천시 동내면, 춘천시 석사동, 춘천시 퇴계동, 춘천시 신동면 "
강원소방본부,춘천소방서,소양119안전센터,강원도 춘천시 가연길16번길 16,"춘천시 소양동, 춘천시 조운동, 춘천시 약사명동, 춘천시 근화동"
강원소방본부,춘천소방서,신북119안전센터,강원도 춘천시 신북읍 신북로 35,강원도 춘천시
강원소방본부,춘천소방서,효자119안전센터,강원도 춘천시 효명길 8,"춘천시 남면, 춘천시 남산면, 춘천시 효자 1동, 춘천시 효자2동, 춘천시 강남동"
강원소방본부,춘천소방서,후평119안전센터,강원도 춘천시 후석로 446(후평동),"춘천시 후평1동, 춘천시 후평2동, 춘천시 후평 3동, 춘천시 교동, 춘천시 효자3동, 춘천시 동면"
강원소방본부,태백소방서,119구조대,강원특별자치도 태백시 태백로 1120,
강원소방본부,태백소방서,철암119안전센터,강원도 태백시 동태백로 552,"태백시 구문소동, 태백시 철암동 "
강원소방본부,태백소방서,화전119안전센터,강원도 태백시 태백로 814,"태백시 황연동, 태백시 삼수동"
강원소방본부,태백소방서,황지119안전센터,강원도 태백시 태백로 1120(황지동),"태백시 상장동, 태백시 황지동, 태백시 삼수동"
강원소방본부,평창소방서,119구조대,강원도 평창군 진부면 진부로 37,
강원소방본부,평창소방서,대관령119안전센터,강원도 평창군 대관령면 올림픽로 62-20,평창군 대관령면
강원소방본부,평창소방서,대화119안전센터,강원도 평창군 대화면 평창대로 934,"평창군 대화면, 평창군 방림면"
강원소방본부,평창소방서,미탄119지역대,강원 평창군 미탄면 평안한치길 13,
강원소방본부,평창소방서,방림119지역대,강원 평창군 용평면 경강로 2004,
강원소방본부,평창소방서,봉평119안전센터,강원도 평창군 봉평면 기풍로 107-6,"평창군 봉평면, 평창군 용평면"
강원소방본부,평창소방서,용평119지역대,강원 평창군 용평면 경강로 2004,
강원소방본부,평창소방서,진부119안전센터,강원도 평창군 진부면 진부로 37,평창군 진부면
강원소방본부,평창소방서,평창119안전센터,강원도 평창군 평창읍 살구실길 10,"평창군 평창읍, 평창군 미탄면"
강원소방본부,홍천소방서,서석119안전센터,강원도 홍천군 서석면 풍암길2길 9,"홍천군 서석면, 홍천군 내촌면, 홍천군 내면"
강원소방본부,홍천소방서,양덕원119안전센터,강원도 홍천군 남면 시동로 46,홍천군 남면
강원소방본부,홍천소방서,홍천119안전센터,강원도 홍천군 홍천읍 공작산로 99,"홍천군 홍천읍, 홍천군 화촌면, 홍천군 영귀미면, 홍천군 북방면, 홍천군 두촌면"
강원소방본부,화천소방서,119구조대,강원 화천군 하남면 위라리길 47,
강원소방본부,화천소방서,간동119지역대,강원 화천군 간동면 동림길 17,화천군 간동면
강원소방본부,화천소방서,상서119지역대,강원 화천군 상서면 산양리 511-6,화천군 상서면
강원소방본부,화천소방서,화천119안전센터,강원도 화천군 하남면 위라리길 47,"화천군 화천읍, 화천군 간동면, 화천군 상서면, 화천군 하남면"
강원소방본부,횡성소방서,공근119안전센터,강원도 횡성군 공근면 영서로 130-5,"횡성군 공근면, 횡성군 서원면"
강원소방본부,횡성소방서,둔내119안전센터,강원도 횡성군 둔내면 고원남로 42,"횡성군 둔내면, 횡성군 청일면"
강원소방본부,횡성소방서,우천119안전센터,강원도 횡성군 우천면 서동로 199,"횡성군 우천면, 횡성군 안흥면, 횡성군 강림면"
강원소방본부,횡성소방서,횡성119안전센터,강원도 횡성군 횡성읍 문예로 157,"횡성군 횡성읍, 횡성군 갑천면"
강원소방서,양구소방서,동면119지역대,강원 양구군 동면 금강산로 1689-5,양구군 동면
경기소방재난본부,가평소방서,119구조대,경기도 가평군 가평읍 가화로 36,
경기소방재난본부,가평소방서,대곡119안전센터,경기도 가평군 가평읍 가화로 36,"가평군 가평읍 이화리, 가평군 가평읍 복장리, 가평군 가평읍 금대리, 가평군 북면"
경기소방재난본부,가평소방서,설악119안전센터,경기도 가평군 설악면 한서로 7,"가평군 설악면, 가평군 청평면 대성리, 가평군 청평면 삼회리, 가평군 청평면 상천리, 가평군 청평면 청평리, 가평군 청평면 하천리"
경기소방재난본부,가평소방서,조종119안전센터,경기도 가평군 조종면 현창로 14,"가평군 조종면, 가평군 상면"
경기소방재난본부,고령소방서,다산119안전센터,경기도 남양주시 다산중앙로146번길 76,
경기소방재난본부,고양소방서,119구조대,경기도 고양시 덕양구 고양대로 1342,
경기소방재난본부,고양소방서,능곡119안전센터,경기도 고양시 덕양구 토당로 48,"고양시 덕양구 행주내동, 고양시 덕양구 행주외동, 고양시 덕양구 토당동, 고양시 덕양구 신평동, 고양시 덕양구 대장동, 고양시 덕양구 내곡동"
경기소방재난본부,고양소방서,삼송119안전센터,경기도 고양시 덕양구 오금로 14,"고양시 덕양구 삼송동, 고양시 덕양구 오금동, 고양시 덕양구 동산동, 고양시 덕양구 지축동, 고양시 덕양구 효자동, 고양시 덕양구 북한동, 고양시 덕양구 원당동, 고양시 덕양구 원흥동, 고양시 덕양구 도내동, 고양시 덕양구 성사동, 고양시 덕양구 고양동, 고양시 덕양구 벽제동, 고양시 덕양구 대자동, 고양시 덕양구 관산동, 고양시 덕양구 내유동"
경기소방재난본부,고양소방서,원당119안전센터,경기도 고양시 덕양구 고양대로 1342,"고양시 덕양구 주교동, 고양시 덕양구 성사동, 고양시 덕양구 화정동, 고양시 덕양구 원당동, 고양시 덕양구 흥도동, 고양시 덕양구 대자동"
경기소방재난본부,고양소방서,행신119안전센터,경기도 고양시 덕양구 소원로 181번길 52,"고양시 덕양구 행신동, 고양시 덕양구 강매동, 고양시 덕양구 도내동, 고양시 덕양구 원흥동, 고양시 덕양구 성사동"
경기소방재난본부,고양소방서,화전119안전센터,경기도 고양시 덕양구 중앙로 78,"고양시 덕양구 화전동, 고양시 덕양구 현천동, 고양시 덕양구 향동동, 고양시 덕양구 용두동, 고양시 덕양구 덕은동, 고양시 덕양구 동산동"
경기소방재난본부,과천소방서,119구조대,경기도 과천시 통영로 12,
경기소방재난본부,과천소방서,주암119안전센터,경기도 과천시 궁말로30,"과천시 주암동, 과천시 과천동, 과천시 막계동"
경기소방재난본부,과천소방서,중앙119안전센터,경기도 과천시 통영로 12,"과천시 관문동, 과천시 부림동, 과천시 중앙동, 과천시 문원동, 과천시 갈현동, 과천시 별양동, 과천시 원문동"
경기소방재난본부,광명소방서,119구조대,경기도 광명시 금하로472(소하동),
경기소방재난본부,광명소방서,광남119안전센터,경기도 광명시 목감로 34,"광명시 광명동, 광명시 옥길동"
경기소방재난본부,광명소방서,광북119안전센터,경기도 광명시 광이로67(광명동),"광명시 광명동, 광명시 철산동"
경기소방재난본부,광명소방서,소하119안전센터,경기도 광명시 금하로 472,"광명시 소하동, 광명시 일직동, 광명시 노온사동, 광명시 가학동, 광명시 하안동"
경기소방재난본부,광명소방서,하안119안전센터,경기도 광명시 범안로 1025,"광명시 하안동, 광명시 철산동"
경기소방재난본부,광주소방서,119구조대,경기도 광주시 초월읍 무들로 112 광주소방서,
경기소방재난본부,광주소방서,곤지암119안전센터,경기도 광주시 곤지암읍 광여로 160,"광주시 곤지암읍, 광주시 도척면"
경기소방재난본부,광주소방서,광남119안전센터,경기도 광주시 고불로 277,"광주시 광남1동, 광주시 광남2동"
경기소방재난본부,광주소방서,남한산성119지역대,경기 광주시 남한산성면 남한산성로 737,광주시 남한산성면
경기소방재난본부,광주소방서,능평119안전센터,경기도 광주시 대명대길 30 (능평동),"광주시 오포1동, 광주시 신현동, 광주시 능평동"
경기소방재난본부,광주소방서,도척119지역대,경기 광주시 도척면 도척로 676 도척119지역대,광주시 도척면
경기소방재난본부,광주소방서,송정119안전센터,경기도 광주시 수하길 36,"광주시 경안동, 광주시 쌍령동, 광주시 송정동, 광주시 탄벌동, 광주시 남한산성면"
경기소방재난본부,광주소방서,오포119안전센터,경기도 광주시 오포로 910-5,"광주시 오포1동, 광주시 오포2동"
경기소방재난본부,광주소방서,초월119안전센터,경기도 광주시 초월읍 무들로 112,"광주시 초월읍, 광주시 퇴촌면, 광주시 남종면"
경기소방재난본부,광주소방서,퇴촌119지역대,경기도 광주시 수하길 36 경안119안전센터,광주시
경기소방재난본부,구리소방서,119구조대,경기도 구리시 수택동 334-9(수택천로16번길 88),
경기소방재난본부,구리소방서,갈매119안전센터,경기도 구리시 산마루로68,"구리시 갈매동, 구리시 사노동"
경기소방재난본부,구리소방서,교문119안전센터,경기도 구리시 아차산로487번길 46,"구리시 교문동, 구리시 수택1동, 구리시 수택2동, 구리시 수택3동, 구리시 아천동"
경기소방재난본부,구리소방서,인창119안전센터,경기도 구리시 건원대로34번길 28,구리시 인창동
경기소방재난본부,군포소방서,119구조대,경기도 군포시 고산로 429,
경기소방재난본부,군포소방서,산본119안전센터,경기도 군포시 산본로432번길 1,"군포시 산본1동, 군포시 산본2동, 군포시 금정동, 군포시 궁내동, 군포시 광장동"
경기소방재난본부,군포소방서,송정119안전센터,경기도 군포시 송부로74번길 4 (도마교동),"군포시 둔대동, 군포시 속달동, 군포시 도마교동, 군포시 대야미동, 군포시 부곡동"
경기소방재난본부,군포소방서,오금119안전센터,경기도 군포시 고산로 429,"군포시 오금동, 군포시 당정동, 군포시 당동, 군포시 수리동"
경기소방재난본부,김포소방서,119구조대,경기도 김포시 감암로 111,
